n
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15687v1', 'paper_title': 'Can LLMs Guide Their Own Exploration? Gradient-Guided Reinforcement Learning for LLM Reasoning', 'arxiv_category': 'cs.LG', 'publication_date': '2025-12-17T18:44:45Z', 'entity_type_original': 'other', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T17:13:28.029000000Z"",confidence_score: 0.7,name: ""final layer sensitivity"",created_at: ""2025-12-19T17:13:28.029000000Z"",extraction_method: ""llm_extraction"",id: ""d4d83f99-96b3-4899-bab0-585152df0c11"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15675v1', 'paper_title': 'Stylized Synthetic Augmentation further improves Corruption Robustness', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'dataset', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:04:48.751000000Z"",confidence_score: 0.98,name: ""CIFAR-10-C"",created_at: ""2025-12-19T22:04:48.751000000Z"",extraction_method: ""llm_extraction"",id: ""27cc37d2-5d4c-4f27-8851-9fedcef08b3d"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15675v1', 'paper_title': 'Stylized Synthetic Augmentation further improves Corruption Robustness', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'dataset', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:04:48.754000000Z"",confidence_score: 0.97,name: ""CIFAR-100-C"",created_at: ""2025-12-19T22:04:48.754000000Z"",extraction_method: ""llm_extraction"",id: ""c4944e3f-6406-4c1d-9f5c-b91f9b877af8"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15675v1', 'paper_title': 'Stylized Synthetic Augmentation further improves Corruption Robustness', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'dataset', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:04:48.756000000Z"",confidence_score: 0.96,name: ""TinyImageNet-C"",created_at: ""2025-12-19T22:04:48.756000000Z"",extraction_method: ""llm_extraction"",id: ""008750aa-5b58-4109-910e-970588e2c2f9"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15674v1', 'paper_title': 'Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'model', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:05:41.188000000Z"",confidence_score: 0.92,name: ""Activation Oracles"",created_at: ""2025-12-19T22:05:41.188000000Z"",extraction_method: ""llm_extraction"",id: ""02176c00-e3a1-4262-b504-5e8a639f563b"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15674v1', 'paper_title': 'Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'task', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:05:41.191000000Z"",confidence_score: 0.85,name: ""Self-Supervised Context Prediction Task"",created_at: ""2025-12-19T22:05:41.191000000Z"",extraction_method: ""llm_extraction"",id: ""29e8e619-6b59-4405-a167-4e381434afd3"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15674v1', 'paper_title': 'Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'task', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:05:41.192000000Z"",confidence_score: 0.84,name: ""Classification Tasks"",created_at: ""2025-12-19T22:05:41.192000000Z"",extraction_method: ""llm_extraction"",id: ""dc3f2003-7e3b-478e-9942-1b8dc00eab3c"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15674v1', 'paper_title': 'Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'task', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:05:41.193000000Z"",confidence_score: 0.78,name: ""Downstream Tasks"",created_at: ""2025-12-19T22:05:41.193000000Z"",extraction_method: ""llm_extraction"",id: ""3d2bbe77-a9a5-42ee-bff9-6306d0a2bf7e"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15658v1', 'paper_title': 'PPSEBM: An Energy-Based Model with Progressive Parameter Selection for Continual Learning', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'model', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:06:25.441000000Z"",confidence_score: 0.92,name: ""PPSEBM"",created_at: ""2025-12-19T22:06:25.441000000Z"",extraction_method: ""llm_extraction"",id: ""8622d868-681a-4ba6-8f70-c405dcd2b119"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15658v1', 'paper_title': 'PPSEBM: An Energy-Based Model with Progressive Parameter Selection for Continual Learning', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'model', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:06:25.442000000Z"",confidence_score: 0.9,name: ""Energy-Based Model"",created_at: ""2025-12-19T22:06:25.442000000Z"",extraction_method: ""llm_extraction"",id: ""7c6341e9-812d-4560-a577-5244b4816c6a"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15658v1', 'paper_title': 'PPSEBM: An Energy-Based Model with Progressive Parameter Selection for Continual Learning', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'other', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:06:25.451000000Z"",confidence_score: 0.7,name: ""pseudo-samples"",created_at: ""2025-12-19T22:06:25.451000000Z"",extraction_method: ""llm_extraction"",id: ""9a1c2b7f-fe18-4f96-aa84-f3f03f1ceb95"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15657v1', 'paper_title': 'SoFlow: Solution Flow Models for One-Step Generative Modeling', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'model', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:07:19.205000000Z"",confidence_score: 0.96,name: ""Solution Flow Models"",created_at: ""2025-12-19T22:07:19.205000000Z"",extraction_method: ""llm_extraction"",id: ""a58ea9d9-5674-40a4-8ab2-dd1952182597"",type: ""OTHER""})"
